,VXc1,VXc1,VXc1,VXc2,VXc2,VXc2
,TRDPRC_1,SETTLE,OPINT_1,TRDPRC_1,SETTLE,OPINT_1
Date,,,,,,
2007-09-10,26.77,26.72,12120,24.51,24.67,11842
2007-09-11,24.95,25.01,12398,23.51,23.62,11991
2007-09-12,24.99,24.94,11685,23.88,23.88,12512
2007-09-13,24.85,24.85,11519,23.71,23.76,12499
2007-09-14,24.75,24.8,11587,23.76,23.78,12483
2007-09-17,25.34,25.37,11751,24.32,24.34,12861
2007-09-18,20.25,20.18,12088,21.4,21.39,13919
2007-09-19,20.62,20.57,15156,20.3,20.23,29270
2007-09-20,20.8,20.82,15755,20.69,20.75,29173
2007-09-21,19.9,19.87,16346,20.03,19.98,29253
2007-09-24,19.69,19.71,17140,19.96,19.91,29768
2007-09-25,19.9,19.88,16891,20.07,20.11,29169
2007-09-26,19.05,19.03,17361,19.6,19.56,29813
2007-09-27,18.76,18.72,17870,19.32,19.39,29978
2007-09-28,18.9,18.92,19092,19.77,19.79,31139
2007-10-01,18.45,18.43,19109,19.3,19.34,31343
2007-10-02,18.94,18.92,18985,19.7,19.69,31457
2007-10-03,19.1,19.1,18623,19.99,19.99,31247
2007-10-04,19.29,19.26,18672,20.14,20.15,31176
2007-10-05,17.9,17.93,18700,19.29,19.27,31958
2007-10-08,18.2,18.2,18356,19.44,19.51,31973
2007-10-09,17.0,17.06,18915,18.63,18.64,32401
2007-10-10,17.3,17.31,18409,18.6,18.62,32116
2007-10-11,18.5,18.53,18784,19.69,19.8,32870
2007-10-12,17.91,17.95,18961,19.43,19.45,33283
2007-10-15,19.13,19.17,20032,20.42,20.41,33578
2007-10-16,20.0,20.03,19289,21.3,21.33,34030
2007-10-17,21.09,21.07,34652,20.9,20.95,12191
2007-10-18,21.08,21.09,34982,20.9,20.92,13535
2007-10-19,22.55,22.54,36785,22.25,22.3,13637
2007-10-22,22.27,22.27,36322,21.79,21.74,14084
2007-10-23,21.52,21.56,37144,21.24,21.23,14200
2007-10-24,21.98,22.01,37756,21.6,21.57,13076
2007-10-25,21.7,21.71,38455,21.68,21.68,12954
2007-10-26,20.69,20.73,38692,21.02,21.04,12833
2007-10-29,20.23,20.27,38130,20.95,20.91,12846
2007-10-30,20.95,20.96,38230,21.68,21.64,13036
2007-10-31,19.06,19.06,39519,20.27,20.3,13453
2007-11-01,22.31,22.33,37860,22.53,22.46,13146
2007-11-02,23.01,22.98,38308,23.0,23.07,12939
2007-11-05,23.97,23.94,37932,23.99,23.91,13334
2007-11-06,22.44,22.45,38360,22.95,22.92,14098
2007-11-07,25.17,25.22,37160,25.19,25.23,14552
2007-11-08,25.21,25.24,37068,25.01,25.05,15267
2007-11-09,27.0,26.96,36952,26.2,26.36,15934
2007-11-12,27.67,27.64,36420,26.65,26.64,17171
2007-11-13,24.6,24.65,34336,24.85,24.82,15943
2007-11-14,25.16,25.3,33370,25.1,25.15,16489
2007-11-15,27.29,27.42,32353,26.7,26.7,18196
2007-11-16,26.0,26.04,32405,26.4,26.45,17953
2007-11-19,25.6,25.61,32301,27.0,26.92,16986
2007-11-20,25.0,25.08,33002,26.11,26.18,18354
2007-11-21,26.86,26.81,18836,26.83,26.74,11831
2007-11-23,25.77,25.86,18548,26.0,25.98,11740
2007-11-26,27.32,27.32,18757,26.96,26.97,11858
2007-11-27,26.6,26.65,18586,26.51,26.53,11873
2007-11-28,24.6,24.56,19638,24.62,24.66,11957
2007-11-29,24.81,24.86,19554,24.7,24.77,11862
2007-11-30,24.21,24.19,19867,24.35,24.37,12325
2007-12-03,24.24,24.29,19275,24.55,24.56,12065
2007-12-04,24.4,24.48,19252,24.8,24.83,12220
2007-12-05,23.0,23.06,19502,23.92,23.95,12220
2007-12-06,21.61,21.67,19773,22.92,22.94,12498
2007-12-07,22.0,21.97,19656,23.3,23.27,12393
2007-12-10,21.3,21.28,19298,22.92,22.92,12400
2007-12-11,22.96,22.92,19298,24.02,23.91,12400
2007-12-12,22.3,22.19,19298,23.8,23.76,12400
2007-12-13,22.03,22.04,19298,23.99,23.95,12400
2007-12-14,22.67,22.64,19298,24.65,24.66,12400
2007-12-17,23.7,23.75,19298,25.4,25.45,12400
2007-12-18,22.5,22.55,19298,24.6,24.57,12400
2007-12-19,24.36,24.42,12400,24.36,24.38,9737
2007-12-20,24.1,24.17,12400,24.01,24.1,9737
2007-12-21,23.06,23.1,12400,23.31,23.29,9737
2007-12-24,22.16,22.18,12400,22.99,22.95,9737
2007-12-26,21.96,22.02,12400,22.79,22.79,9737
2007-12-27,22.7,22.72,12400,23.52,23.52,9737
2007-12-28,22.86,22.81,12400,23.69,23.72,9737
2007-12-31,23.1,23.12,14290,24.18,24.19,13026
2008-01-02,23.83,23.86,14964,24.42,24.49,13125
2008-01-03,23.3,23.42,14592,24.6,24.52,13244
2008-01-04,24.65,24.68,15078,25.37,25.3,13429
2008-01-07,24.07,24.12,14734,24.79,24.81,13479
2008-01-08,25.53,25.54,15322,26.1,25.9,13702
2008-01-09,24.95,24.89,13855,25.65,25.78,14806
2008-01-10,24.07,24.07,13772,24.77,24.95,14050
2008-01-11,25.0,24.96,12826,26.1,26.15,15934
2008-01-14,23.44,23.36,12570,25.13,25.1,16389
2008-01-15,23.95,24.04,12570,25.32,25.24,16557
2008-01-16,25.0,24.99,17371,25.0,25.03,7530
2008-01-17,26.97,26.97,18146,26.7,26.62,8426
2008-01-18,27.12,27.24,19002,26.7,26.71,8661
2008-01-22,27.65,27.73,19697,26.4,26.38,8983
2008-01-23,26.35,26.4,17767,25.5,25.3,8518
2008-01-24,26.45,26.43,17271,25.35,25.34,9645
2008-01-25,26.63,26.75,17191,25.81,25.8,9925
2008-01-28,26.16,26.16,16647,25.15,25.37,9861
2008-01-29,26.25,26.25,16799,25.25,25.25,9892
2008-01-30,26.18,26.14,17000,25.55,25.56,10027
2008-01-31,25.72,25.64,17842,25.43,25.31,10165
2008-02-01,24.9,24.95,17124,24.66,24.66,10628
2008-02-04,25.85,25.81,16827,25.5,25.56,11425
2008-02-05,27.6,27.39,16877,27.05,26.92,10025
2008-02-06,28.32,28.19,16837,27.5,27.6,10240
2008-02-07,27.63,27.62,17912,27.2,27.25,10448
2008-02-08,28.42,28.39,17110,27.7,27.63,10448
2008-02-11,27.9,27.88,16875,26.9,26.97,10542
2008-02-12,27.0,27.06,17145,26.73,26.72,11012
2008-02-13,25.94,26.0,16469,25.75,25.81,11428
2008-02-14,26.2,26.28,16274,26.2,26.18,11734
2008-02-15,26.05,26.07,16469,25.83,25.93,12952
2008-02-19,25.57,25.61,13194,25.78,25.7,7061
2008-02-20,25.5,25.45,13571,25.57,25.41,7100
2008-02-21,25.44,25.42,14684,25.42,25.45,6989
2008-02-22,24.84,24.87,14240,24.8,24.83,7387
2008-02-25,24.18,24.17,15453,24.33,24.34,7524
2008-02-26,23.7,23.71,16118,24.2,24.18,8016
2008-02-27,23.85,23.88,16778,24.42,24.45,8242
2008-02-28,24.62,24.58,16533,24.8,25.1,8011
2008-02-29,26.05,26.1,16843,26.27,26.36,8643
2008-03-03,26.16,26.16,15693,26.3,26.25,8605
2008-03-04,25.71,25.72,16023,25.79,25.79,8747
2008-03-05,24.81,24.83,15885,25.39,25.38,11664
2008-03-06,26.79,26.76,15445,26.9,26.99,11627
2008-03-07,26.95,26.91,15186,26.94,26.87,12561
2008-03-10,27.72,27.75,14056,27.7,27.6,10875
2008-03-11,26.17,26.11,12815,26.05,26.09,12181
2008-03-12,26.65,26.68,12019,26.9,26.92,12215
2008-03-13,26.71,26.75,11613,26.99,27.02,12663
2008-03-14,29.1,29.03,9166,28.45,28.52,12784
2008-03-17,30.61,30.57,9166,28.5,28.54,12784
2008-03-18,25.9,25.95,9166,26.2,26.2,14204
2008-03-19,27.4,27.41,13610,26.41,26.53,11844
2008-03-20,27.02,27.0,13911,26.16,26.08,11767
2008-03-24,26.34,26.35,14759,25.71,25.71,11750
2008-03-25,26.34,26.32,14469,25.8,25.87,12733
2008-03-26,26.9,26.95,13331,26.33,26.32,12771
2008-03-27,26.61,26.64,14117,26.5,26.46,12941
2008-03-28,26.45,26.6,12889,26.53,26.59,12939
2008-03-31,25.92,26.01,12706,26.25,26.3,12954
2008-04-01,24.0,24.0,14230,24.8,24.85,13442
2008-04-02,24.64,24.64,14133,24.96,25.03,14151
2008-04-03,24.25,24.27,15298,25.0,24.94,14863
2008-04-04,24.0,23.96,16198,25.0,24.95,14580
2008-04-07,23.01,23.01,15481,24.23,24.26,15314
2008-04-08,23.02,23.02,14379,24.13,24.07,15275
2008-04-09,23.53,23.63,13996,24.62,24.66,17001
2008-04-10,22.9,22.85,13089,24.3,24.33,17279
2008-04-11,23.94,23.91,13089,24.91,24.98,17279
2008-04-14,23.9,23.84,12425,24.9,24.88,17848
2008-04-15,22.86,22.87,12425,24.46,24.41,20550
2008-04-16,22.95,22.96,21193,23.25,23.23,10381
2008-04-17,23.02,23.03,21769,23.5,23.55,10101
2008-04-18,22.17,22.2,22427,22.75,22.84,10276
2008-04-21,21.86,21.92,22694,22.4,22.43,10300
2008-04-22,22.13,22.1,22645,22.65,22.62,10262
2008-04-23,21.85,21.86,23461,22.41,22.41,10348
2008-04-24,21.23,21.23,23845,22.1,22.05,10696
2008-04-25,20.73,20.69,24270,21.51,21.52,11099
2008-04-28,20.53,20.54,24925,21.38,21.33,11117
2008-04-29,20.8,20.81,24609,21.57,21.59,11751
2008-04-30,21.22,21.24,25975,22.1,22.14,12188
2008-05-01,19.98,19.86,26427,20.9,20.95,11837
2008-05-02,19.65,19.66,26607,20.6,20.63,12276
2008-05-05,19.7,19.69,26586,20.97,20.99,12000
2008-05-06,18.76,18.82,27166,20.2,20.26,11728
2008-05-07,19.65,19.7,27901,21.15,21.21,12250
2008-05-08,19.65,19.67,27448,21.22,21.25,12765
2008-05-09,19.8,19.84,28094,21.42,21.45,12778
2008-05-12,18.93,18.94,28662,20.78,20.82,13519
2008-05-13,18.7,18.7,28394,20.8,20.78,13520
2008-05-14,18.32,18.3,27200,20.33,20.32,14180
2008-05-15,17.42,17.43,26860,19.88,19.88,15278
2008-05-16,17.16,17.15,25651,20.16,20.14,18442
2008-05-19,16.64,16.64,22224,19.76,19.76,21043
2008-05-20,17.43,17.37,21349,20.83,20.82,24705
2008-05-21,22.15,22.14,23712,23.58,23.58,8276
2008-05-22,21.71,21.72,24948,23.59,23.56,8682
2008-05-23,22.25,22.23,24630,24.02,24.04,8586
2008-05-27,21.55,21.49,24070,23.71,23.7,8583
2008-05-28,21.34,21.33,23190,23.27,23.25,8657
2008-05-29,19.95,19.97,23333,22.08,22.07,8813
2008-05-30,19.4,19.38,24396,21.74,21.77,9095
2008-06-02,20.62,20.64,23842,22.76,22.8,9094
2008-06-03,21.08,21.07,24502,23.15,23.18,9164
2008-06-04,21.34,21.3,24438,23.06,23.09,9808
2008-06-05,19.86,19.91,23828,22.05,22.13,10652
2008-06-06,23.1,22.98,22741,23.9,23.94,12143
2008-06-09,22.7,22.7,22609,23.41,23.43,12460
2008-06-10,22.7,22.72,20413,23.5,23.47,12205
2008-06-11,23.79,23.75,19820,24.0,24.05,12351
2008-06-12,22.8,22.85,19124,23.95,23.88,12951
2008-06-13,21.65,21.62,19124,23.03,23.0,12951
2008-06-16,20.91,20.86,16514,22.51,22.74,14466
2008-06-17,21.0,21.05,16514,22.69,22.68,15850
2008-06-18,23.34,23.35,15487,23.35,23.37,8935
2008-06-19,22.99,22.93,15550,23.2,23.17,8963
2008-06-20,23.43,23.51,15999,23.49,23.43,9434
2008-06-23,23.51,23.51,15577,23.5,23.49,9021
2008-06-24,23.58,23.63,15733,23.7,23.7,9009
2008-06-25,22.65,22.61,16505,22.73,22.75,9240
2008-06-26,24.71,24.72,16395,24.29,24.25,9252
2008-06-27,24.53,24.55,15725,24.2,24.18,9289
2008-06-30,24.17,24.19,16420,23.92,23.93,9758
2008-07-01,24.2,24.19,15777,23.8,23.8,10029
2008-07-02,25.57,25.53,16559,24.97,24.95,10321
2008-07-03,25.37,25.39,14634,24.63,24.69,10189
2008-07-07,25.8,25.85,14811,24.75,24.78,10313
2008-07-08,23.97,23.96,14248,23.5,23.54,10477
2008-07-09,25.45,25.47,14248,24.68,24.69,10477
2008-07-10,25.6,25.61,14427,24.9,24.86,10348
2008-07-11,27.23,27.15,14427,25.27,25.25,10348
2008-07-14,28.1,28.03,15632,25.87,25.89,11132
2008-07-15,28.3,28.43,15694,26.2,26.12,12316
2008-07-16,24.61,24.72,12375,24.51,24.48,7379
2008-07-17,24.23,24.25,12856,23.97,23.99,7458
2008-07-18,24.07,24.05,12849,23.79,23.8,7678
2008-07-21,23.39,23.4,13034,23.45,23.44,7402
2008-07-22,22.44,22.47,12927,22.75,22.74,7900
2008-07-23,22.45,22.43,13299,22.8,22.78,8030
2008-07-24,23.6,23.55,13677,23.75,23.72,7888
2008-07-25,23.42,23.45,13588,23.6,23.63,7942
2008-07-28,24.22,24.25,13696,24.3,24.24,7935
2008-07-29,22.66,22.68,14123,23.0,22.99,8461
2008-07-30,21.55,21.57,14858,22.1,22.1,8059
2008-07-31,22.8,22.77,15131,23.0,22.94,7970
2008-08-01,22.96,22.95,15329,23.05,23.04,8050
2008-08-04,22.76,22.78,15802,22.95,23.01,8664
2008-08-05,21.4,21.44,15886,22.14,22.12,9327
2008-08-06,20.72,20.7,16074,21.58,21.58,10128
2008-08-07,21.5,21.51,16000,22.54,22.52,9738
2008-08-08,20.99,20.91,15804,21.89,21.87,10922
2008-08-11,20.3,20.29,14443,21.7,21.68,9178
2008-08-12,21.22,21.28,14081,22.5,22.46,9421
2008-08-13,21.56,21.5,13718,22.95,22.93,10396
2008-08-14,20.8,20.8,13498,22.16,22.15,11229
2008-08-15,20.16,20.18,11675,21.9,21.92,11281
2008-08-18,20.65,20.66,11675,22.28,22.21,11564
2008-08-19,21.0,21.0,11675,22.95,22.93,12775
2008-08-20,22.46,22.45,13387,23.18,23.16,5575
