Date,VXc1,VXc2,VXc3
2023-08-23,,18.1989,18.7301
2023-08-24,18.0102,18.7774,19.1263
2023-08-25,17.1776,18.0894,18.5791
2023-08-28,16.4326,17.5005,18.1496
2023-08-29,15.9027,17.1967,17.8498
2023-08-30,15.3029,16.7006,17.5005
2023-08-31,15.0438,16.3736,17.2256
2023-09-01,14.7971,16.2094,17.101
2023-09-05,14.9927,16.1975,16.9984
2023-09-06,15.3467,16.4978,17.2496
2023-09-07,15.3022,16.439,17.1502
2023-09-08,14.9405,16.1484,16.976
2023-09-11,14.5844,15.8099,16.6085
2023-09-12,14.6385,15.8595,16.7011
2023-09-13,13.9985,15.665,16.6166
2023-09-14,13.3689,15.2378,16.1357
2023-09-15,14.2528,15.7721,16.5274
2023-09-18,14.0971,15.6816,16.524
2023-09-19,14.0519,15.5728,16.3998
2023-09-20,13.96,16.1696,16.8653
2023-09-21,17.4859,17.7975,17.8065
2023-09-22,17.4916,17.8893,17.9418
2023-09-25,17.4974,17.9872,18.025
2023-09-26,19.1742,19.2555,19.0501
2023-09-27,18.3022,18.75,18.819
2023-09-28,17.3515,18.0194,18.1998
2023-09-29,17.7712,18.2463,18.3437
2023-10-02,17.8507,18.238,18.3013
2023-10-03,19.6564,19.7982,19.6354
2023-10-04,18.5177,18.9066,19.0773
2023-10-05,18.1998,18.7461,18.959
2023-10-06,18.0342,18.4171,18.6551
2023-10-09,17.6467,18.2263,18.5486
2023-10-10,16.9878,17.6168,18.0387
2023-10-11,16.5021,17.3537,17.7551
2023-10-12,16.9479,17.7476,18.05
2023-10-13,19.2567,19.9214,19.7407
2023-10-16,17.1597,17.978,18.4401
2023-10-17,17.8484,18.4362,18.7488
2023-10-18,18.37,19.5967,19.6143
2023-10-19,20.5549,20.5479,21.3466
2023-10-20,20.725,20.6987,21.4495
2023-10-23,20.0003,20.0471,20.8155
2023-10-24,19.0875,19.2673,20.2036
2023-10-25,20.3008,20.3601,21.1649
2023-10-26,20.5375,20.4999,21.25
2023-10-27,21.1865,21.2116,21.8457
2023-10-30,19.5901,19.707,20.5969
2023-10-31,18.1268,18.6006,19.6993
2023-11-01,17.3005,17.8499,19.0145
2023-11-02,16.5565,17.3431,18.5915
2023-11-03,16.1519,16.9746,18.22
2023-11-06,15.6461,16.3841,17.6491
2023-11-07,15.5014,16.3245,17.5995
2023-11-08,15.1093,16.046,17.3033
2023-11-09,15.8874,16.6544,17.7785
2023-11-10,14.8991,15.997,17.2326
2023-11-13,14.8035,15.8467,17.1331
2023-11-14,14.2701,15.7429,17.0925
2023-11-15,14.22,15.3507,16.8307
2023-11-16,15.1459,16.6024,17.2467
2023-11-17,14.9042,16.4004,17.0577
