,VXc1,VXc1,VXc1,VXc2,VXc2,VXc2,VXc4,VXc4,VXc4
,TRDPRC_1,SETTLE,OPINT_1,TRDPRC_1,SETTLE,OPINT_1,TRDPRC_1,SETTLE,OPINT_1
Date,,,,,,,,,
2007-09-10,26.77,26.72,12120,24.51,24.67,11842,22.2,22.1,7607
2007-09-11,24.95,25.01,12398,23.51,23.62,11991,21.6,21.63,7555
2007-09-12,24.99,24.94,11685,23.88,23.88,12512,21.86,21.77,6437
2007-09-13,24.85,24.85,11519,23.71,23.76,12499,21.4,21.47,6665
2007-09-14,24.75,24.8,11587,23.76,23.78,12483,21.35,21.49,6861
2007-09-17,25.34,25.37,11751,24.32,24.34,12861,21.76,21.69,7234
2007-09-18,20.25,20.18,12088,21.4,21.39,13919,20.61,20.48,7605
2007-09-19,20.62,20.57,15156,20.3,20.23,29270,20.01,20.1,2646
2007-09-20,20.8,20.82,15755,20.69,20.75,29173,20.2,20.16,2555
2007-09-21,19.9,19.87,16346,20.03,19.98,29253,19.6,19.63,2578
2007-09-24,19.69,19.71,17140,19.96,19.91,29768,19.53,19.55,2308
2007-09-25,19.9,19.88,16891,20.07,20.11,29169,19.55,19.49,2275
2007-09-26,19.05,19.03,17361,19.6,19.56,29813,19.3,19.24,2312
2007-09-27,18.76,18.72,17870,19.32,19.39,29978,19.13,19.16,2294
2007-09-28,18.9,18.92,19092,19.77,19.79,31139,19.4,19.48,2300
2007-10-01,18.45,18.43,19109,19.3,19.34,31343,19.29,19.26,2620
2007-10-02,18.94,18.92,18985,19.7,19.69,31457,19.56,19.62,2530
2007-10-03,19.1,19.1,18623,19.99,19.99,31247,19.79,19.79,2552
2007-10-04,19.29,19.26,18672,20.14,20.15,31176,19.73,19.86,2714
2007-10-05,17.9,17.93,18700,19.29,19.27,31958,19.12,19.09,2740
2007-10-08,18.2,18.2,18356,19.44,19.51,31973,19.3,19.28,2734
2007-10-09,17.0,17.06,18915,18.63,18.64,32401,18.91,18.76,2851
2007-10-10,17.3,17.31,18409,18.6,18.62,32116,19.05,18.92,2841
2007-10-11,18.5,18.53,18784,19.69,19.8,32870,19.55,19.6,2801
2007-10-12,17.91,17.95,18961,19.43,19.45,33283,19.44,19.55,2792
2007-10-15,19.13,19.17,20032,20.42,20.41,33578,20.57,20.43,2920
2007-10-16,20.0,20.03,19289,21.3,21.33,34030,21.06,21.08,7172
2007-10-17,21.09,21.07,34652,20.9,20.95,12191,21.2,21.12,4335
